"GEO","SEX","AGE","TIME","VALUE","FLAGS","FOOTNOTES"
"BE323_53039","T","TOTAL","2011","6778","",""
"BE323_53044","T","TOTAL","2011","10043","",""
"BE323_53046","T","TOTAL","2011","4250","",""
"BE323_53053","T","TOTAL","2011","92721","",""
"BE323_53065","T","TOTAL","2011","18989","",""
"BE323_53068","T","TOTAL","2011","6688","",""
"BE323_53070","T","TOTAL","2011","22987","",""
"BE323_53082","T","TOTAL","2011","20198","",""
"BE323_53083","T","TOTAL","2011","5031","",""
"BE323_53084","T","TOTAL","2011","7829","",""
"BE324","T","TOTAL","2011","73067","",""
"BE324_54007","T","TOTAL","2011","55257","",""
"BE324_54010","T","TOTAL","2011","17810","",""
"BE325","T","TOTAL","2011","184411","",""
"BE325_55004","T","TOTAL","2011","21313","",""
"BE325_55010","T","TOTAL","2011","13006","",""
"BE325_55022","T","TOTAL","2011","78296","",""
"BE325_55023","T","TOTAL","2011","18412","",""
"BE325_55035","T","TOTAL","2011","8282","",""
"BE325_55039","T","TOTAL","2011","8160","",""
"BE325_55040","T","TOTAL","2011","26309","",""
"BE325_55050","T","TOTAL","2011","10633","",""
"BE326","T","TOTAL","2011","150284","",""
"BE326_56001","T","TOTAL","2011","11763","",""
"BE326_56005","T","TOTAL","2011","7084","",""
"BE326_56011","T","TOTAL","2011","32946","",""
"BE326_56016","T","TOTAL","2011","9871","",""
"BE326_56022","T","TOTAL","2011","9752","",""
"BE326_56029","T","TOTAL","2011","3777","",""
"BE326_56044","T","TOTAL","2011","5695","",""
"BE326_56049","T","TOTAL","2011","4283","",""
"BE326_56051","T","TOTAL","2011","5274","",""
"BE326_56078","T","TOTAL","2011","14641","",""
"BE326_56085","T","TOTAL","2011","7727","",""
"BE326_56086","T","TOTAL","2011","13384","",""
"BE326_56087","T","TOTAL","2011","19203","",""
"BE326_56088","T","TOTAL","2011","4884","",""
"BE327","T","TOTAL","2011","145430","",""
"BE327_57003","T","TOTAL","2011","7667","",""
"BE327_57018","T","TOTAL","2011","5496","",""
"BE327_57027","T","TOTAL","2011","10037","",""
"BE327_57062","T","TOTAL","2011","5464","",""
"BE327_57064","T","TOTAL","2011","17108","",""
"BE327_57072","T","TOTAL","2011","5138","",""
"BE327_57081","T","TOTAL","2011","69592","",""
"BE327_57093","T","TOTAL","2011","7865","",""
"BE327_57094","T","TOTAL","2011","13535","",""
"BE327_57095","T","TOTAL","2011","3528","",""
"BE33","T","TOTAL","2011","1082136","",""
"BE331","T","TOTAL","2011","109199","",""
"BE331_61003","T","TOTAL","2011","13727","",""
"BE331_61010","T","TOTAL","2011","2998","",""
"BE331_61012","T","TOTAL","2011","4435","",""
"BE331_61019","T","TOTAL","2011","4713","",""
"BE331_61024","T","TOTAL","2011","3806","",""
"BE331_61028","T","TOTAL","2011","4949","",""
"BE331_61031","T","TOTAL","2011","21204","",""
"BE331_61039","T","TOTAL","2011","5242","",""
"BE331_61041","T","TOTAL","2011","3952","",""
"BE331_61043","T","TOTAL","2011","5744","",""
"BE331_61048","T","TOTAL","2011","2721","",""
"BE331_61063","T","TOTAL","2011","3809","",""
"BE331_61068","T","TOTAL","2011","6339","",""
"BE331_61072","T","TOTAL","2011","13131","",""
"BE331_61079","T","TOTAL","2011","4080","",""
"BE331_61080","T","TOTAL","2011","5762","",""
"BE331_61081","T","TOTAL","2011","2587","",""
"BE332","T","TOTAL","2011","612363","",""
"BE332_62003","T","TOTAL","2011","27652","",""
"BE332_62006","T","TOTAL","2011","8859","",""
